k,Tamaño,Tiempo_Secuencial,Tiempo_Paralelo,Aceleracion
1,1,3,59,3,69, 0,97
2,2,32,44,5,45, 5,95
3,3,130,42,14,60, 8,93
4,4,468,74,46,25, 10,14
5,5,1239,78,198,08, 6,26
6,6,5154,24,679,23, 7,59
7,7,19006,58,2836,68, 6,70
8,8,72631,74,11362,42, 6,39
9,9,311876,69,44463,95, 7,01
10,10,1283371,34,182597,64, 7,03
11,11,4933205,13,718481,97, 6,87
